<FG2 'FG2-SHELL V4.03' (Nov 25 2020) NOW(UTC):01.08.2023 21:35:18>,,,,,
<FILE: C:\FG2_Shell_V3\data/A543E3/raw/A543E3_20230801133449.f2b>,,,,,
<LOGGER: $A543E3>,,,,,
<FILESIZE: 125196 Bytes>,,,,,
<MEMORY CLEAR>,,,,,
<PARAMETER_SET: C:\FG2_Shell_V3\data/A543E3/par/A543E3_20220923212752.f2p>,,,,,
<PERIOD: 3600 sec>,,,,,
<TIME: 23.09.2022 22:29:08>,,,,,
<HK-BATUSED: 0.0 % (CALC)>,,,,,
NO,TIME,#1:oC,#2:X,#3:Y,HK-BAT:V
168,30.09.2022 21:00:00,3.10078,5.98304,-5.13908,
169,30.09.2022 22:00:00,1.76639,6.00727,-5.1153,
170,30.09.2022 23:00:00,6.29973,6.00095,-5.14198,3.422
171,01.10.2022 00:00:00,2.26639,5.99854,-5.11212,
172,01.10.2022 01:00:00,1.89655,5.98848,-5.11097,
173,01.10.2022 02:00:00,1.95951,5.98596,-5.11516,
174,01.10.2022 03:00:00,-2.59868,5.9809,-5.08499,
175,01.10.2022 04:00:00,-1.92037,5.98876,-5.10026,
176,01.10.2022 05:00:00,-1.19551,5.99161,-5.10225,3.463
177,01.10.2022 06:00:00,-0.931489,5.99354,-5.10517,
178,01.10.2022 07:00:00,-0.693923,5.99628,-5.10887,
179,01.10.2022 08:00:00,-0.528845,6.00035,-5.10791,
180,01.10.2022 09:00:00,-0.678049,6.00024,-5.10601,
181,01.10.2022 10:00:00,-0.885456,5.99958,-5.10513,
182,01.10.2022 11:00:00,-1.17646,5.99952,-5.10068,3.454
183,01.10.2022 12:00:00,-0.909796,6.0026,-5.10462,
184,01.10.2022 13:00:00,-0.837836,6.00101,-5.10466,
185,01.10.2022 14:00:00,-0.923024,6.00123,-5.10339,
186,01.10.2022 15:00:00,-0.705563,6.00727,-5.10491,
187,01.10.2022 16:00:00,-0.645774,6.00809,-5.10616,
188,01.10.2022 17:00:00,-0.428842,6.00518,-5.10779,3.451
189,01.10.2022 18:00:00,0.206076,6.00974,-5.11297,
190,01.10.2022 19:00:00,0.781209,6.02369,-5.1141,
191,01.10.2022 20:00:00,0.984384,6.0416,-5.10197,
192,01.10.2022 21:00:00,1.10767,6.08132,-5.10609,
193,01.10.2022 22:00:00,0.561099,6.06039,-5.11315,
194,01.10.2022 23:00:00,0.529352,6.04539,-5.10839,3.458
195,02.10.2022 00:00:00,0.294961,6.06297,-5.09544,
196,02.10.2022 01:00:00,-0.327259,6.04891,-5.10346,
197,02.10.2022 02:00:00,-1.58651,6.01831,-5.10068,
198,02.10.2022 03:00:00,-3.15159,6.01534,-5.07776,
199,02.10.2022 04:00:00,-3.43942,6.02512,-5.07779,
200,02.10.2022 05:00:00,-4.23625,6.00211,-5.08366,3.455
201,02.10.2022 06:00:00,-3.28916,6.03215,-5.08833,
202,02.10.2022 07:00:00,-3.78334,6.00738,-5.0859,
203,02.10.2022 08:00:00,-3.81561,6.02062,-5.08608,
204,02.10.2022 09:00:00,-4.68492,6.01403,-5.07987,
205,02.10.2022 10:00:00,-5.88175,6.01353,-5.07556,
206,02.10.2022 11:00:00,-4.48862,6.02545,-5.09086,3.429
207,02.10.2022 12:00:00,-4.28862,6.02589,-5.08996,
208,02.10.2022 13:00:00,-4.58386,6.0204,-5.08943,
209,02.10.2022 14:00:00,-4.46958,6.01979,-5.09082,
210,02.10.2022 15:00:00,-4.23254,6.01919,-5.09221,
211,02.10.2022 16:00:00,-4.10397,6.02095,-5.09468,
212,02.10.2022 17:00:00,-3.90556,6.02243,-5.09679,3.449
213,02.10.2022 18:00:00,-3.33096,6.02249,-5.10061,
214,02.10.2022 19:00:00,-2.52567,6.02435,-5.10658,
215,02.10.2022 20:00:00,-1.53254,6.02287,-5.10791,
216,02.10.2022 21:00:00,-0.879106,6.02606,-5.11266,
217,02.10.2022 22:00:00,-0.759003,6.01826,-5.11181,
218,02.10.2022 23:00:00,-0.148953,6.03649,-5.11982,3.436
219,03.10.2022 00:00:00,-1.91773,6.01315,-5.10496,
220,03.10.2022 01:00:00,-2.18916,6.00595,-5.10301,
221,03.10.2022 02:00:00,-3.14154,6.00524,-5.09351,
222,03.10.2022 03:00:00,-3.76694,5.99749,-5.09222,
223,03.10.2022 04:00:00,-4.00291,5.99996,-5.09051,
224,03.10.2022 05:00:00,-4.05741,6.00178,-5.09107,3.445
225,03.10.2022 06:00:00,-3.63466,5.99892,-5.09752,
226,03.10.2022 07:00:00,-3.72196,5.99496,-5.09623,
227,03.10.2022 08:00:00,-3.6918,5.99645,-5.09751,
228,03.10.2022 09:00:00,-3.73254,5.99958,-5.09684,
229,03.10.2022 10:00:00,-3.82778,5.99282,-5.09711,
230,03.10.2022 11:00:00,-3.93201,5.98255,-5.10422,3.423
231,03.10.2022 12:00:00,-4.00609,5.99074,-5.09542,
232,03.10.2022 13:00:00,-4.1918,5.99343,-5.0942,
233,03.10.2022 14:00:00,-4.37752,5.99035,-5.09266,
234,03.10.2022 15:00:00,-4.59974,5.99551,-5.09328,
235,03.10.2022 16:00:00,-5.12249,5.99711,-5.09063,
236,03.10.2022 17:00:00,-5.17011,5.99041,-5.09242,3.437
237,03.10.2022 18:00:00,-4.57804,5.9954,-5.10031,
238,03.10.2022 19:00:00,-4.46005,5.99238,-5.10097,
239,03.10.2022 20:00:00,-3.70979,5.99282,-5.11074,
240,03.10.2022 21:00:00,-2.65424,6.01057,-5.11647,
241,03.10.2022 22:00:00,-1.01032,5.98969,-5.13274,
242,03.10.2022 23:00:00,-1.96694,5.97294,-5.13754,3.449
243,04.10.2022 00:00:00,-1.82831,5.97316,-5.12171,
244,04.10.2022 01:00:00,-2.08387,5.96772,-5.11662,
