"Plot Title: Hobo_A"
"#","Date Time, GMT-06:00","Snow Depth, Inches (LGR S/N: 21378708, SEN S/N: 21074600)","Current, mA (LGR S/N: 21378708, SEN S/N: 21074600)"
217,09/13/22 04:12:10 PM,5.049,0.0125
218,09/13/22 10:12:10 PM,5.111,0.0125
219,09/14/22 04:12:10 AM,1.945,0.0125
220,09/14/22 10:12:10 AM,4.118,0.0125
221,09/14/22 04:12:10 PM,4.739,0.0187
222,09/14/22 10:12:10 PM,1.945,0.0125
223,09/15/22 04:12:10 AM,4.801,0.0125
224,09/15/22 10:12:10 AM,3.249,0.0125
225,09/15/22 04:12:10 PM,3.870,0.0125
226,09/15/22 10:12:10 PM,3.000,0.0125
227,09/16/22 04:12:10 AM,3.683,0.0125
228,09/16/22 10:12:10 AM,3.870,0.0187
229,09/16/22 04:12:10 PM,4.801,0.0187
230,09/16/22 10:12:10 PM,4.491,0.0125
231,09/17/22 04:12:10 AM,3.683,0.0125
232,09/17/22 10:12:10 AM,4.242,0.0187
233,09/17/22 04:12:10 PM,4.553,0.0187
234,09/17/22 10:12:10 PM,4.863,0.0125
235,09/18/22 04:12:10 AM,4.304,0.0125
236,09/18/22 10:12:10 AM,2.814,0.0125
237,09/18/22 04:12:10 PM,0.889,0.0187
238,09/18/22 10:12:10 PM,2.131,0.0125
239,09/19/22 04:12:10 AM,0.951,0.0125
240,09/19/22 10:12:10 AM,2.007,0.0125
241,09/19/22 04:12:10 PM,4.491,0.0187
242,09/19/22 10:12:10 PM,5.111,0.0187
243,09/20/22 04:12:10 AM,2.628,0.0125
244,09/20/22 10:12:10 AM,1.262,0.0187
245,09/20/22 04:12:10 PM,1.572,0.0125
246,09/20/22 10:12:10 PM,2.007,0.0125
247,09/21/22 04:12:10 AM,2.441,0.0125
248,09/21/22 10:12:10 AM,3.000,0.0125
249,09/21/22 04:12:10 PM,3.000,0.0187
250,09/21/22 10:12:10 PM,3.000,0.0125
251,09/22/22 04:12:10 AM,2.317,0.0125
252,09/22/22 10:12:10 AM,3.808,0.0125
253,09/22/22 04:12:10 PM,3.125,0.0125
254,09/22/22 10:12:10 PM,4.491,0.0125
255,09/23/22 04:12:10 AM,4.366,0.0125
256,09/23/22 10:12:10 AM,4.242,0.0125
257,09/23/22 04:12:10 PM,1.386,0.0125
258,09/23/22 10:12:10 PM,3.187,0.0125
259,09/24/22 04:12:10 AM,3.497,0.0125
260,09/24/22 10:12:10 AM,3.932,0.0125
261,09/24/22 04:12:10 PM,1.821,0.0125
262,09/24/22 10:12:10 PM,1.013,0.0125
263,09/25/22 04:12:10 AM,2.379,0.0125
264,09/25/22 10:12:10 AM,2.690,0.0125
265,09/25/22 04:12:10 PM,2.504,0.0125
266,09/25/22 10:12:10 PM,2.690,0.0125
267,09/26/22 04:12:10 AM,3.994,0.0125
268,09/26/22 10:12:10 AM,3.932,0.0125
269,09/26/22 04:12:10 PM,2.566,0.0125
270,09/26/22 10:12:10 PM,1.572,0.0125
271,09/27/22 04:12:10 AM,-0.912,0.0125
272,09/27/22 10:12:10 AM,114.023,0.0125
273,09/27/22 04:12:10 PM,8.465,0.0125
274,09/27/22 10:12:10 PM,9.831,0.0125
275,09/28/22 04:12:10 AM,9.831,0.0125
276,09/28/22 10:12:10 AM,9.831,0.0125
277,09/28/22 04:12:10 PM,8.340,0.0125
278,09/28/22 10:12:10 PM,8.775,0.0125
279,09/29/22 04:12:10 AM,9.085,0.0125
280,09/29/22 10:12:10 AM,9.085,0.0125
281,09/29/22 04:12:10 PM,7.657,0.0125
282,09/29/22 10:12:10 PM,7.471,0.0125
283,09/30/22 04:12:10 AM,8.092,0.0125
284,09/30/22 10:12:10 AM,8.527,0.0125
285,09/30/22 04:12:10 PM,7.409,0.0187
286,09/30/22 10:12:10 PM,7.409,0.0125
287,10/01/22 04:12:10 AM,7.533,0.0125
