<FG2 'FG2-SHELL V4.03' (Nov 25 2020) NOW(UTC):01.08.2023 23:25:05>,,,,,,
<FILE: C:\FG2_Shell_V3\data/A543D1/raw/A543D1_20230801152430.f2b>,,,,,,
<LOGGER: $A543D1>,,,,,,
<FILESIZE: 154914 Bytes>,,,,,,
<MEMORY CLEAR>,,,,,,
<PARAMETER_SET: C:\FG2_Shell_V3\data/A543D1/par/A543D1_20220723132046.f2p>,,,,,,
<PERIOD: 3600 sec>,,,,,,
<TIME: 23.07.2022 15:34:30>,,,,,,
<HK-BATUSED: 3.3 % (CALC)>,,,,,,
NO,TIME,#1:oC,#2:X,#3:Y,HK-TEMP:oC,HK-BAT:V
223,01.08.2022 21:00:00,15.0018,7.96333,1.42999,,
224,01.08.2022 22:00:00,13.069,7.95905,1.45626,13.06,3.433
225,01.08.2022 23:00:00,11.0145,7.92883,1.47273,,
226,02.08.2022 00:00:00,10.5817,7.92279,1.48291,,
227,02.08.2022 01:00:00,9.04947,7.9179,1.50501,,
228,02.08.2022 02:00:00,8.0357,7.9223,1.51971,,
229,02.08.2022 03:00:00,7.3611,7.91395,1.53203,,
230,02.08.2022 04:00:00,6.95475,7.90834,1.54608,6.95,3.41
231,02.08.2022 05:00:00,7.08332,7.89714,1.55406,,
232,02.08.2022 06:00:00,7.4939,7.91356,1.55172,,
233,02.08.2022 07:00:00,7.8849,7.92927,1.5655,,
234,02.08.2022 08:00:00,8.53253,7.91312,1.56623,,
235,02.08.2022 09:00:00,9.98227,7.87885,1.57132,,
236,02.08.2022 10:00:00,12.9839,7.8561,1.55703,12.98,3.395
237,02.08.2022 11:00:00,18.8796,7.85918,1.52148,,
238,02.08.2022 12:00:00,18.1891,7.89313,1.52658,,
239,02.08.2022 13:00:00,21.5987,7.88253,1.51196,,
240,02.08.2022 14:00:00,20.7579,7.89587,1.50698,,
241,02.08.2022 15:00:00,21.5833,7.91296,1.50172,,
242,02.08.2022 16:00:00,19.9516,7.92339,1.50838,19.95,3.465
243,02.08.2022 17:00:00,16.1495,7.93526,1.54802,,
244,02.08.2022 18:00:00,17.7966,7.93141,1.52084,,
245,02.08.2022 19:00:00,17.3701,7.92834,1.52876,,
246,02.08.2022 20:00:00,14.1003,7.90433,1.54818,,
247,02.08.2022 21:00:00,14.5373,7.90554,1.54851,,
248,02.08.2022 22:00:00,13.2569,7.90345,1.5607,13.25,3.458
249,02.08.2022 23:00:00,8.02724,7.87451,1.59291,,
250,03.08.2022 00:00:00,5.74575,7.87412,1.6083,,
251,03.08.2022 01:00:00,4.4521,7.85577,1.62116,,
252,03.08.2022 02:00:00,4.49814,7.8494,1.62694,,
253,03.08.2022 03:00:00,4.46692,7.84215,1.63623,,
254,03.08.2022 04:00:00,3.26957,7.83918,1.646,3.26,3.455
255,03.08.2022 05:00:00,2.0992,7.83259,1.65529,,
256,03.08.2022 06:00:00,3.52936,7.82765,1.6611,,
257,03.08.2022 07:00:00,5.03676,7.82803,1.66043,,
258,03.08.2022 08:00:00,7.0103,7.82666,1.65927,,
259,03.08.2022 09:00:00,8.84999,7.82463,1.65639,,
260,03.08.2022 10:00:00,11.3241,7.81463,1.64646,11.32,3.405
261,03.08.2022 11:00:00,16.3479,7.80595,1.60644,,
262,03.08.2022 12:00:00,21.1891,7.82353,1.57526,,
263,03.08.2022 13:00:00,22.4293,7.83973,1.55988,,
264,03.08.2022 14:00:00,23.4929,7.84885,1.53988,,
265,03.08.2022 15:00:00,24.2288,7.85775,1.52457,,
266,03.08.2022 16:00:00,25.4627,7.88291,1.50502,25.46,3.478
267,03.08.2022 17:00:00,25.5098,7.89313,1.50041,,
268,03.08.2022 18:00:00,24.8992,7.90433,1.49741,,
269,03.08.2022 19:00:00,23.8288,7.90027,1.50066,,
270,03.08.2022 20:00:00,23.6346,7.89604,1.50137,,
271,03.08.2022 21:00:00,23.0865,7.88368,1.51174,,
272,03.08.2022 22:00:00,18.1955,7.85594,1.53965,18.19,3.398
273,03.08.2022 23:00:00,9.41349,7.82012,1.57265,,
274,04.08.2022 00:00:00,8.15105,7.80375,1.58615,,
275,04.08.2022 01:00:00,6.98755,7.79815,1.60186,,
276,04.08.2022 02:00:00,7.47379,7.78898,1.60997,,
277,04.08.2022 03:00:00,6.16216,7.78782,1.62926,,
278,04.08.2022 04:00:00,4.57221,7.78546,1.6435,4.57,3.448
279,04.08.2022 05:00:00,6.17115,7.77794,1.64719,,
280,04.08.2022 06:00:00,8.41295,7.77041,1.65271,,
281,04.08.2022 07:00:00,9.22247,7.76816,1.66205,,
282,04.08.2022 08:00:00,15.4368,7.76135,1.65089,,
283,04.08.2022 09:00:00,18.4706,7.77173,1.62916,,
284,04.08.2022 10:00:00,22.2622,7.78112,1.59664,22.26,3.426
