Model,IC6656L Tilt Logger,,,,,,,,,,,,,
Name,Tilt Logger Gruber#2,,,,,,,,,,,,,
Serial Number,5123,,,,,,,,,,,,,
Firmware Version,1.03,Software Version,1.19.4,,,,,,,,,,,
Sampling Status,LOGGING,,,,,,,,,,,,,
Sampling Rate,FIXED,,,,,,,,,,,,,
Current Interval,1:00:00,,,,,,,,,,,,,
Start Time,6/28/2019,13:07:13,,,,,,,,,,,,
Current Time,7/20/2022,16:43:52,Logger Time,7/20/2022,14:08:08,,,,,,,,,
Number Of Sensors,2,,,,,,,,,,,,,
Number Of Records,26786,Dnl using USB,,,,,,,,,,,,
Sensor Upload Num / Status Code,1,20002A,FFFFFFFF,0,Bat Type LSH14Light,,WD 255,PO 0,EXT 157,BO 0,SW 255,PDI 255,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TIMESTAMP,RECORD,BATTERY,Tilt 1,Tilt 2,,,,Tilt 1,Tilt 2,LOGGER TEMP,RESET,USB,RSSI,STATUS 0x
7/2/2019 9:07,93,3.51,-0.308203,-0.008249,,,,-0.308203,-0.008249,16.8,0,0,0,0
7/2/2019 10:07,94,3.51,-0.308195,-0.00824,,,,-0.308195,-0.00824,17.7,0,0,0,0
7/2/2019 11:07,95,3.51,-0.308191,-0.008266,,,,-0.308191,-0.008266,18.2,0,0,0,0
7/2/2019 12:07,96,3.51,-0.308187,-0.008291,,,,-0.308187,-0.008291,18.8,0,0,0,0
7/2/2019 13:07,97,3.56,-0.308184,-0.008331,,,,-0.308184,-0.008331,19.4,0,0,0,0
7/2/2019 14:07,98,3.56,-0.221825,-0.317059,,,,-0.221825,-0.317059,20,0,0,0,0
7/2/2019 15:07,99,3.56,-0.222057,-0.317059,,,,-0.222057,-0.317059,20.1,0,0,0,0
7/2/2019 16:07,100,3.56,-0.223026,-0.317057,,,,-0.223026,-0.317057,20.2,0,0,0,0
7/2/2019 17:07,101,3.56,-0.223063,-0.317057,,,,-0.223063,-0.317057,20.3,0,0,0,0
7/2/2019 18:07,102,3.56,-0.224264,-0.317055,,,,-0.224264,-0.317055,20.6,0,0,0,0
7/2/2019 19:07,103,3.56,-0.224354,-0.317055,,,,-0.224354,-0.317055,20.7,0,0,0,0
7/4/2019 19:07,104,3.46,-0.308146,-0.011129,,,,-0.308146,-0.011129,24.4,1,0,0,0
7/4/2019 20:07,105,3.51,-0.308153,-0.011124,,,,-0.308153,-0.011124,23.4,0,0,0,0
7/4/2019 21:07,106,3.51,-0.308159,-0.011097,,,,-0.308159,-0.011097,22.6,0,0,0,0
7/4/2019 22:07,107,3.51,-0.308157,-0.003862,,,,-0.308157,-0.003862,22.8,0,0,0,0
7/4/2019 23:07,108,3.51,-0.200527,0.308327,,,,-0.200527,0.308327,23.1,0,0,0,0
7/5/2019 0:07,109,3.56,-0.200424,0.308331,,,,-0.200424,0.308331,22.8,0,0,0,0
7/5/2019 1:07,110,3.51,-0.200262,0.308331,,,,-0.200262,0.308331,22.7,0,0,0,0
7/5/2019 2:07,111,3.51,-0.200163,0.308331,,,,-0.200163,0.308331,22.6,0,0,0,0
7/5/2019 3:07,112,3.51,-0.200058,0.308331,,,,-0.200058,0.308331,22.6,0,0,0,0
7/5/2019 4:07,113,3.51,-0.199966,0.308332,,,,-0.199966,0.308332,22.6,0,0,0,0
7/5/2019 5:07,114,3.51,-0.199684,0.308332,,,,-0.199684,0.308332,22.6,0,0,0,0
7/5/2019 6:07,115,3.51,-0.199602,0.308332,,,,-0.199602,0.308332,22.5,0,0,0,0
7/5/2019 7:07,116,3.51,-0.199619,0.308332,,,,-0.199619,0.308332,22.4,0,0,0,0
7/5/2019 8:07,117,3.51,-0.198286,0.308346,,,,-0.198286,0.308346,21.1,0,0,0,0
7/5/2019 9:07,118,3.51,-0.172852,0.308361,,,,-0.172852,0.308361,19.4,0,0,0,0
7/5/2019 10:07,119,3.51,-0.172962,0.308365,,,,-0.172962,0.308365,18.8,0,0,0,0
7/5/2019 11:07,120,3.51,-0.010096,0.035936,,,,-0.010096,0.035936,19.6,0,0,0,0
7/5/2019 12:07,121,3.51,-0.010254,0.035892,,,,-0.010254,0.035892,19.6,0,0,0,0
7/5/2019 13:07,122,3.51,-0.011406,0.035847,,,,-0.011406,0.035847,19.8,0,0,0,0
7/5/2019 14:07,123,3.51,-0.011457,0.035824,,,,-0.011457,0.035824,20,0,0,0,0
7/5/2019 15:07,124,3.51,-0.011454,0.035875,,,,-0.011454,0.035875,20.3,0,0,0,0
7/5/2019 16:07,125,3.51,-0.013834,0.03583,,,,-0.013834,0.03583,20.5,0,0,0,0
7/5/2019 17:07,126,3.51,-0.006533,0.036024,,,,-0.006533,0.036024,20.8,0,0,0,0
7/5/2019 18:07,127,3.51,-0.026264,0.115883,,,,-0.026264,0.115883,20.9,0,0,0,0
7/5/2019 19:07,128,3.51,-0.026335,0.115868,,,,-0.026335,0.115868,20.8,0,0,0,0
7/5/2019 20:07,129,3.51,-0.026346,0.115847,,,,-0.026346,0.115847,20.7,0,0,0,0
7/5/2019 21:07,130,3.51,-0.026377,0.115829,,,,-0.026377,0.115829,20.7,0,0,0,0
7/5/2019 22:07,131,3.51,-0.026415,0.115812,,,,-0.026415,0.115812,20.7,0,0,0,0
7/5/2019 23:07,132,3.51,-0.02643,0.115812,,,,-0.02643,0.115812,20.6,0,0,0,0
7/6/2019 0:07,133,3.51,-0.026438,0.115803,,,,-0.026438,0.115803,20.6,0,0,0,0
7/6/2019 1:07,134,3.51,-0.026453,0.115808,,,,-0.026453,0.115808,20.4,0,0,0,0
7/6/2019 2:07,135,3.51,-0.026459,0.115801,,,,-0.026459,0.115801,20.4,0,0,0,0
7/6/2019 3:07,136,3.51,-0.026463,0.115797,,,,-0.026463,0.115797,20.3,0,0,0,0
7/6/2019 4:07,137,3.51,-0.026468,0.115761,,,,-0.026468,0.115761,20.2,0,0,0,0
7/6/2019 5:07,138,3.51,-0.02647,0.11577,,,,-0.02647,0.11577,20.2,0,0,0,0
7/6/2019 6:07,139,3.51,-0.026474,0.115774,,,,-0.026474,0.115774,20,0,0,0,0
7/6/2019 7:07,140,3.51,-0.026442,0.115774,,,,-0.026442,0.115774,19.9,0,0,0,0
7/6/2019 8:07,141,3.51,-0.022881,0.121069,,,,-0.022881,0.121069,16.3,0,0,0,0
7/6/2019 9:07,142,3.51,0.315279,0.095119,,,,0.315279,0.095119,14.5,0,0,0,0
7/6/2019 10:07,143,3.51,-0.306547,-0.000429,,,,-0.306547,-0.000429,14.2,0,0,0,0
7/6/2019 11:07,144,3.51,-0.306549,0.000048,,,,-0.306549,0.000048,13.9,0,0,0,0
7/6/2019 12:07,145,3.51,-0.306549,0.105453,,,,-0.306549,0.105453,14.1,0,0,0,0
7/6/2019 13:07,146,3.51,-0.140661,0.128906,,,,-0.140661,0.128906,19.4,0,0,0,0
7/6/2019 14:07,147,3.51,-0.160435,0.129381,,,,-0.160435,0.129381,20.1,0,0,0,0
7/6/2019 15:07,148,3.51,-0.079786,0.06189,,,,-0.079786,0.06189,20.2,0,0,0,0
7/6/2019 16:07,149,3.51,-0.08111,0.061781,,,,-0.08111,0.061781,14.8,0,0,0,0
7/6/2019 17:07,150,3.51,-0.082981,0.061676,,,,-0.082981,0.061676,13.2,0,0,0,0
7/6/2019 18:07,151,3.51,-0.051107,0.038422,,,,-0.051107,0.038422,11.1,0,0,0,0
7/6/2019 19:07,152,3.46,-0.050959,0.038275,,,,-0.050959,0.038275,11.6,0,0,0,0
7/6/2019 20:07,153,3.46,-0.050817,0.038174,,,,-0.050817,0.038174,12.4,0,0,0,0
7/6/2019 21:07,154,3.46,-0.050766,0.038099,,,,-0.050766,0.038099,8.8,0,0,0,0
7/6/2019 22:07,155,3.46,-0.050173,0.03805,,,,-0.050173,0.03805,7.2,0,0,0,0
7/6/2019 23:07,156,3.46,-0.049736,0.03797,,,,-0.049736,0.03797,6.2,0,0,0,0
7/7/2019 0:07,157,3.51,-0.049208,0.037912,,,,-0.049208,0.037912,5.6,0,0,0,0
7/7/2019 1:07,158,3.46,-0.048752,0.037834,,,,-0.048752,0.037834,5.2,0,0,0,0
7/7/2019 2:07,159,3.46,-0.048353,0.037785,,,,-0.048353,0.037785,4.7,0,0,0,0
7/7/2019 3:07,160,3.46,-0.048124,0.037724,,,,-0.048124,0.037724,4.1,0,0,0,0
7/7/2019 4:07,161,3.46,-0.047855,0.037657,,,,-0.047855,0.037657,4.4,0,0,0,0
7/7/2019 5:07,162,3.46,-0.047577,0.03759,,,,-0.047577,0.03759,6,0,0,0,0
7/7/2019 6:07,163,3.46,-0.047125,0.0375,,,,-0.047125,0.0375,8.3,0,0,0,0
7/7/2019 7:07,164,3.46,-0.046434,0.037437,,,,-0.046434,0.037437,11.2,0,0,0,0
7/7/2019 8:07,165,3.46,-0.046106,0.037399,,,,-0.046106,0.037399,9.8,0,0,0,0
7/7/2019 9:07,166,3.51,-0.045467,0.037186,,,,-0.045467,0.037186,15.1,0,0,0,0
7/7/2019 10:07,167,3.51,-0.045073,0.037174,,,,-0.045073,0.037174,14.4,0,0,0,0
7/7/2019 11:07,168,3.56,0.003483,0.016144,,,,0.003483,0.016144,15.6,0,0,0,0
7/7/2019 12:07,169,3.51,0.024632,0.017792,,,,0.024632,0.017792,14.9,0,0,0,0
7/7/2019 13:07,170,3.51,0.024607,0.017725,,,,0.024607,0.017725,15.2,0,0,0,0
7/7/2019 14:07,171,3.51,0.024414,0.017666,,,,0.024414,0.017666,16.2,0,0,0,0
7/7/2019 15:07,172,3.51,0.024488,0.017645,,,,0.024488,0.017645,16.3,0,0,0,0
7/7/2019 16:07,173,3.51,0.024662,0.0175,,,,0.024662,0.0175,20.2,0,0,0,0
7/7/2019 17:07,174,3.51,0.024349,0.017447,,,,0.024349,0.017447,21.9,0,0,0,0
7/7/2019 18:07,175,3.51,0.024536,0.017361,,,,0.024536,0.017361,20.1,0,0,0,0
7/7/2019 19:07,176,3.51,0.024538,0.017422,,,,0.024538,0.017422,20.3,0,0,0,0
7/7/2019 20:07,177,3.51,0.024584,0.017401,,,,0.024584,0.017401,14.3,0,0,0,0
7/7/2019 21:07,178,3.51,0.02441,0.0175,,,,0.02441,0.0175,12.9,0,0,0,0
7/7/2019 22:07,179,3.46,0.024439,0.017464,,,,0.024439,0.017464,10.7,0,0,0,0
7/7/2019 23:07,180,3.46,0.024441,0.017508,,,,0.024441,0.017508,9.1,0,0,0,0
7/8/2019 0:07,181,3.51,0.024384,0.017534,,,,0.024384,0.017534,7.3,0,0,0,0
7/8/2019 1:07,182,3.46,0.024399,0.017567,,,,0.024399,0.017567,6.1,0,0,0,0
7/8/2019 2:07,183,3.46,0.024342,0.017586,,,,0.024342,0.017586,4.8,0,0,0,0
7/8/2019 3:07,184,3.46,0.024368,0.017607,,,,0.024368,0.017607,4.4,0,0,0,0
7/8/2019 4:07,185,3.46,0.024397,0.017614,,,,0.024397,0.017614,3.7,0,0,0,0
