Model,IC6656L Tilt Logger,,,,,,,,,,,,,
Name,Tilt Logger,,,,,,,,,,,,,
Serial Number,5119,,,,,,,,,,,,,
Firmware Version,1.03,Software Version,1.19.4,,,,,,,,,,,
Sampling Status,LOGGING,,,,,,,,,,,,,
Sampling Rate,FIXED,,,,,,,,,,,,,
Current Interval,12:00:00,,,,,,,,,,,,,
Start Time,7/19/2022,15:55:13,,,,,,,,,,,,
Current Time,9/23/2022,11:57:55,Logger Time,9/23/2022,12:20:52,,,,,,,,,
Number Of Sensors,2,,,,,,,,,,,,,
Number Of Records,132,Dnl using USB,,,,,,,,,,,,
Sensor Upload Num / Status Code,1,6A,FFFFFFFF,147650,Bat Type LS26500,,WD 139,PO 0,EXT 255,BO 0,SW 255,PDI 255,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TIMESTAMP,RECORD,BATTERY,Tilt 1,Tilt 2,,,,Tilt 1,Tilt 2,LOGGER TEMP,RESET,USB,RSSI,STATUS 0x
8/29/2022 15:55,83,2,-0.093224,0.624931,,,,-0.093224,0.624931,15.3,0,0,0,0
8/30/2022 3:55,84,2,-0.093245,0.624928,,,,-0.093245,0.624928,5.6,0,0,0,0
8/30/2022 15:55,85,2,-0.09481,0.624957,,,,-0.09481,0.624957,22.1,0,0,0,0
8/31/2022 3:55,86,2,-0.094584,0.624927,,,,-0.094584,0.624927,0.1,0,0,0,0
8/31/2022 15:55,87,2,-0.096016,0.624962,,,,-0.096016,0.624962,22.3,0,0,0,0
9/1/2022 3:55,88,2,-0.095474,0.624927,,,,-0.095474,0.624927,3,0,0,0,0
9/1/2022 15:55,89,2,-0.096905,0.624961,,,,-0.096905,0.624961,20.3,0,0,0,0
9/2/2022 3:55,90,2,-0.096241,0.624927,,,,-0.096241,0.624927,7.4,0,0,0,0
9/2/2022 15:55,91,2,-0.097546,0.624949,,,,-0.097546,0.624949,23.1,0,0,0,0
9/3/2022 3:55,92,2,-0.096663,0.624925,,,,-0.096663,0.624925,7.4,0,0,0,0
9/3/2022 15:55,93,2,-0.097355,0.624941,,,,-0.097355,0.624941,18.1,0,0,0,0
9/4/2022 3:55,94,2,-0.096085,0.624928,,,,-0.096085,0.624928,5.4,0,0,0,0
9/4/2022 15:55,95,2,-0.095715,0.62493,,,,-0.095715,0.62493,9.8,0,0,0,0
9/5/2022 3:55,96,2,-0.095169,0.624924,,,,-0.095169,0.624924,4.6,0,0,0,0
9/5/2022 15:55,97,2,-0.09479,0.624925,,,,-0.09479,0.624925,5.7,0,0,0,0
9/6/2022 3:55,98,2,-0.095108,0.624923,,,,-0.095108,0.624923,0.9,0,0,0,0
9/6/2022 15:55,99,2,-0.096123,0.624926,,,,-0.096123,0.624926,9.8,0,0,0,0
9/7/2022 3:55,100,2,-0.096294,0.624923,,,,-0.096294,0.624923,-0.6,0,0,0,0
9/7/2022 15:55,101,2,-0.0977,0.624929,,,,-0.0977,0.624929,13.4,0,0,0,0
